UID_01,VARIANT_FLAG,STUDCOUNT,OTHSTUDCOUNT,BIOCHEMICAL_NAME_IMS,HMDB_BIOCHEMICAL_NAME,METABOLON_BIOCHEMICAL_NAME,BIOCHEMICAL_NAME1,BIOCHEMICAL_NAME2,BIOCHEMICAL_NAME3,BIOCHEMICAL_NAME4,BIOCHEMICAL_NAME5,BIOCHEMICAL_NAME6,BIOCHEMICAL_NAME7,BIOCHEMICAL_NAME8,BIOCHEMICAL_NAME9,BIOCHEMICAL_NAME10,BIOCHEMICAL_NAME11,BIOCHEMICAL_NAME12,BIOCHEMICAL_NAME13,BIOCHEMICAL_NAME14,BIOCHEMICAL_NAME15,BIOCHEMICAL_NAME16,BIOCHEMICAL_NAME17,BIOCHEMICAL_NAME18,BIOCHEMICAL_NAME19,BIOCHEMICAL_NAME20,BIOCHEMICAL_NAME21,BIOCHEMICAL_NAME22,BIOCHEMICAL_NAME23,BIOCHEMICAL_NAME24,BIOCHEMICAL_NAME25,BIOCHEMICAL_NAME26,BIOCHEMICAL_NAME27,BIOCHEMICAL_NAME28,BIOCHEMICAL_NAME29,BIOCHEMICAL_NAME30,BIOCHEMICAL_NAME31,BIOCHEMICAL_NAME32,BIOCHEMICAL_NAME33,CHEMICAL_ID1,CHEMICAL_ID2,COMP_ID1,COMP_ID2,COMP_ID3,COMP_ID4,COMP_ID5,COMP_ID6,COMP_ID7,COMP_ID8,COMP_ID9,COMP_ID10,COMP_ID11,COMP_ID12,COMP_ID13,COMP_ID14,COMP_ID15,COMP_ID16,COMP_ID17,COMP_ID18,COMP_ID19,COMP_ID20,COMP_ID21,COMP_ID22,COMP_ID23,COMP_ID24,COMP_ID25,COMP_ID26,COMP_ID27,COMP_ID28,COMP_ID29,COMP_ID30,COMP_ID31,COMP_ID32,COMP_ID33,COMP_ID34,COMP_ID35,COMP_ID36,PUBCHEM1,PUBCHEM2,PUBCHEM3,PUBCHEM4,PUBCHEM5,HMDB_ID1,HMDB_ID2,HMDB_ID3,NCI_METABOLON_NAME1,NCI_METABOLON_NAME2,NCI_METABOLON_NAME3,NCI_METABOLON_NAME4,NCI_METABOLON_NAME5,NCI_METABOLON_NAME6,NCI_METABOLON_NAME7,NCI_METABOLON_NAME8,NCI_METABOLON_NAME9,NCI_METABOLON_NAME10,NCI_METABOLON_NAME11,NCI_METABOLON_NAME12,NCI_METABOLON_NAME13,NCI_METABOLON_NAME14,NCI_METABOLON_NAME15,NCI_METABOLON_NAME16,NCI_METABOLON_NAME17,NCI_METABOLON_NAME18,NCI_METABOLON_NAME19,NCI_METABOLON_NAME20,NCI_METABOLON_NAME21,NCI_METABOLON_NAME22,NCI_METABOLON_NAME23,NCI_METABOLON_NAME24,NCI_METABOLON_NAME25,NCI_METABOLON_NAME26,NCI_METABOLON_NAME27,NCI_METABOLON_NAME28,CAS1,CAS2,CAS3,CAS4,CAS5,INCHI1,INCHI2,INCHIKEY1,INCHIKEY2,CHEBI1,CHEBI2,CHEMSPIDER1,CHEMSPIDER2,CHEMSPIDER3,KEGG1,KEGG2,KEGG3,KEGG4,SUPER_PATHWAY1,SUPER_PATHWAY2,SUPER_PATHWAY3,SUPER_PATHWAY4,SUPER_PATHWAY5,SUB_PATHWAY1,SUB_PATHWAY2,SUB_PATHWAY3,SUB_PATHWAY4,SUB_PATHWAY5,SUB_PATHWAY6,SUB_PATHWAY7,HMDB_CLASS,HMDB_PARENT,HMDB_KINGDOM,HMDB_SUB_CLASS,HMDB_SUPER_CLASS,HMDB_CLASS2,HMDB_PARENT2,HMDB_SUB_CLASS2,HMDB_SUPER_CLASS2,HMDB_BIOCHEMICAL_NAME2,REFMET_NAME,MAIN_CLASS,SUB_CLASS,PRIMARY_CLASS_COMB,SECONDARY_CLASS_COMB,ABC_BROAD_NAME,ARIC_BATCH1_METABOLON_NAME,ARIC_BATCH2_METABOLON_NAME1,ARIC_BATCH2_METABOLON_NAME2,ARIC_BATCH2_METABOLON_NAME3,ARIC_BATCH2_METABOLON_NAME4,CAMP_BIONAME,CAMP_NAME,FENLAND_BIOCRATES_NAME,FENLAND_METABOLON_NAME1,FENLAND_METABOLON_NAME2,FENLAND_METABOLON_NAME3,PLCO_RCC_BROAD_NAME,SHANGHAI_BRAINSHAKE_NAME,SHANGHAI_CHD_METABOLON_NAME,TWINSUK_BIONAME_V3,TWINSUK_BIONAME_V41,TWINSUK_BIONAME_V42,TWINSUK_NAME_V3,TWINSUK_NAME_V41,TWINSUK_NAME_V42,TWINSUK_NAME_V43,VDAART_BIONAME,VDAART_NAME,BRAINSHAKE_NAME,UCLEB_NMR_NAME,HCI_WCMC_NAME,COMMENTS,PLCO_NAME,CPS2M_NAME,BAEPENDI_NAME,CPS2F_NAME,ATBC1_NAME,ATBC2_NAME,ATBC3_NAME,SPA1_NAME,SPA2_NAME,SBR_NAME,HABC_NAME,WHISERUM_NAME,MROS_NAME,BWHHS_NAME,DPP_NAME,COLO_NAME,COPSA_NAME,WIHS_NAME,TWINSUK_NAME,WELL_NAME,CORSA_NAME,ALSPAC_NAME,BIBMOTHER_NAME,BIB_NAME,SABRE_NAME,TWINS_BIOC_NAME,TWINS_BSHK_NAME,TWINSV4_NAME,AIRWAVE_NAME,SMHS_NAME,GENECARD_NAME,ATBC_APR13_NAME,ATBC_DEC13_NAME,ATBC_SEP14_NAME,ARIC_NAME,EPIC_BMRI_NAME,EPIC_LIVER_NAME,EPIC_KIDNEY_NAME,EPIC_BREAST_NAME,EPIC_COLORECT_NAME,EPIC_PROST_NAME,NSHDS_NAME,WOMIN_NAME,WHI2_NAME,ESTONIA_NAME,NHS2_NAME,NHS1_NAME,TMCS_NAME,VDAART_AGE1_NAME,WHI_NAME,CAPS_NAME,CAMP1_NAME,VDAART_HARMFLG,PLCO_HARMFLG,CPS2M_HARMFLG,BAEPENDI_HARMFLG,CPS2F_HARMFLG,ATBC1_HARMFLG,ATBC2_HARMFLG,ATBC3_HARMFLG,SPA1_HARMFLG,SPA2_HARMFLG,SBR_HARMFLG,HABC_HARMFLG,MROS_HARMFLG,BWHHS_HARMFLG,DPP_HARMFLG,COLO_HARMFLG,COPSA_HARMFLG,WIHS_HARMFLG,TWINSUK_HARMFLG,WELL_HARMFLG,CORSA_HARMFLG,ALSPAC_HARMFLG,BIBMOTHER_HARMFLG,BIB_HARMFLG,SABRE_HARMFLG,TWINS_BIOC_HARMFLG,TWINS_BSHK_HARMFLG,TWINSV4_HARMFLG,AIRWAVE_HARMFLG,SMHS_HARMFLG,GENECARD_HARMFLG,ATBC_APR13_HARMFLG,ATBC_DEC13_HARMFLG,ATBC_SEP14_HARMFLG,ARIC_HARMFLG,EPIC_BMRI_HARMFLG,EPIC_LIVER_HARMFLG,EPIC_KIDNEY_HARMFLG,EPIC_BREAST_HARMFLG,NSHDS_HARMFLG,WOMIN_HARMFLG,WHI2_HARMFLG,ESTONIA_HARMFLG,NHS2_HARMFLG,NHS1_HARMFLG,TMCS_HARMFLG,VDAART_AGE1_HARMFLG,WHI_HARMFLG,CAPS_HARMFLG,CAMP1_HARMFLG,ABC_BROAD_HARMFLG,ARIC_BATCH1_METABOLON_HARMFLG,ARIC_BATCH2_METABOLON_HARMFLG1,ARIC_BATCH2_METABOLON_HARMFLG2,ARIC_BATCH2_METABOLON_HARMFLG3,ARIC_BATCH2_METABOLON_HARMFLG4,CAMP_HARMFLG,FENLAND_BIOCRATES_HARMFLG,FENLAND_METABOLON_HARMFLG1,FENLAND_METABOLON_HARMFLG2,FENLAND_METABOLON_HARMFLG3,PLCO_RCC_BROAD_HARMFLG,SHANGHAI_BRAINSHAKE_HARMFLG,SHANGHAI_CHD_METABOLON_HARMFLG,TWINSUK_BIOHARMFLG_V3,TWINSUK_BIOHARMFLG_V41,TWINSUK_BIOHARMFLG_V42,TWINSUK_HARMFLG_V3,TWINSUK_HARMFLG_V41,TWINSUK_HARMFLG_V42,TWINSUK_HARMFLG_V43,BRAINSHAKE_HARMFLG,UCLEB_NMR_HARMFLG,HCI_WCMC_HARMFLG,NCI_METABOLON_HARMFLG,SOURCE_DATE,SOURCE_STUDY,SOURCE_FILE,RETIRED_ID_LIST,RETIRED_FLAG,N_RETIRED,RETIRED_TYPE,RET_COMM,METSUM_ONLY
PUBCHEM16902,0,8,1,(+)-PALMITYLCARNITINE,,,(+)-PALMITYLCARNITINE,(+)-PALMITYLCARNITINE(HEXADECANOYL-L-CARNITINE),Acylcarnitines C16,C16,"c16 in plasma, micromole/L",HEXADECANOYL-L-CARNITINE,Hexadecanoylcarnitine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INCHI=1S/C23H45NO4/C1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/H21H,5-20H2,1-4H3/T21-/M0/S1",,XOMRRQXKHMYMOC-NRFANRHFSA-N,,,,16016,,,,,,,ACYLCARNITINES,LIPID,,,,ACYLCARNITINES,,,,,,,,,,,,,,,,,CAR(16:0),Fatty esters,Fatty acyl carnitines,Fatty esters,Fatty acyl carnitines,,,,,,,,,Hexadecanoylcarnitine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c16,,,,,c16,,,,,c16,,,,,,,,,,,acylcarn_c16,acylcarn_c16,acylcarn_c16,acylcarn_c16,acylcarn_c16,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB29389,0,0,1,"(+)-threo-2-Amino-3,4-dihydroxybutanoic acid","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid",,"(+)-THREO-2-AMINO-3,4-DIHYDROXYBUTANOICACID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3914727,,,,,HMDB0029389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21768-44-5,,,,,"InChI=1S/C4H9NO4/c5-3(4(8)9)2(7)1-6/h2-3,6-7H,1,5H2,(H,8,9)",,JBNUARFQOCGDRK-UHFFFAOYSA-N,,,,3137512,,,,,,,,,,,,,,,,,,,Carboxylic acids and derivatives,Alpha amino acids,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,,,,,,,,,,,,,,,,,,,,,,,,"(+)-threo-2-amino-3,4-dihydroxybutanoic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
CHEM100003600,0,2,0,(15:0)-anacardic acid or Anacardic acid,,(15:0)-anacardic acid or Anacardic acid,(15:0)-ANACARDICACID,(15:0)-ANACARDICACIDORANACARDICACID,ANACARDICACID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100003600,,40719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167551,,,,,,,,ANACARDIC_ACID,_15_0__ANACARDIC_ACID,,,,,,,,,,,,,,,,,,,,,,,,,,,16611-84-0,,,,,,,,,,,,,,C10759,,,,XENOBIOTICS,,,,,FOODCOMPONENT/PLANT,,,,,,,,,,,,,,,,,,,,XENOBIOTICS,FOODCOMPONENT/PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(15:0)-anacardic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
HMDB33896,0,3,0,Anacardic acid,Anacardic acid,"(15:2)-anacardic acid or 2-hydroxy-6-[(8Z,11Z)-pentadeca-8,11-dien-1-yl]benzoic acid",(15:2)-ANACARDICACID,"(15:2)-ANACARDICACIDOR2-HYDROXY-6-[(8Z,11Z)-PENTADECA-8,11-DIEN-1-YL]BENZOICACID","2-HYDROXY-6-[(8Z,11Z)-PENTADECA-8,11-DIEN-1-YL]BENZOICACID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100003472,,41397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11824131,,,,,HMDB0033896,,,BENZOIC_ACID__2_HYDROXY_6___8,_15_2__ANACARDIC_ACID,,,,,,,,,,,,,,,,,,,,,,,,,,,103904-74-1,11034-77-8,,,,"InChI=1S/C22H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h4-5,7-8,15,17-18,23H,2-3,6,9-14,16H2,1H3,(H,24,25)/b5-4-,8-7-",,KAOMOVYHGLSFHQ-UTOQUPLUSA-N,,,,9998782,,,,,,,XENOBIOTICS,,,,,FOODCOMPONENT/PLANT,,,,,,,Benzene and substituted derivatives,Salicylic acids,Organic compounds,Benzoic acids and derivatives,Benzenoids,,,,,,,,,XENOBIOTICS,FOODCOMPONENT/PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_15_2__ANACARDIC_ACID,,,(15:2)-anacardic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
HMDB37397,0,24,5,xi-17-Methyloctadecanoic acid,xi-17-Methyloctadecanoic acid,17-methylstearate,(16 or 17)-methylstearate (a19:0 or i19:0),17-METHYLSTEARATE,17-methylstearate (i19:0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100002356,,38296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083779,,,,,HMDB0037397,,,_17_METHYLSTEARATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724-59-6,2724-59-6;,,,,"InChI=1S/C19H38O2/c1-18(2)16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-19(20)21/h18H,3-17H2,1-2H3,(H,20,21)",,YETXGSGCWODRAA-UHFFFAOYSA-N,,133136,,2340933,,,,,,,LIPID,,,,,"FATTYACID,BRANCHED",LIPID,,,,,,Fatty Acyls,Long-chain fatty acids,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules,,,,,,Xi-17-Methyloctadecanoic acid,Fatty acids and conjugates,Branched fatty acids,Fatty acids and conjugates,Branched fatty acids,,,17-methylstearate,,,,,,,17-methylstearate,,,,,17-methylstearate,,17-methylstearate,,,M38296,,,17-methylstearate,X38296,,,,,_17_METHYLSTEARATE,_17-methylstearate (i19:0),,_17-methylstearate,_17_methylstearate,_17_methylstearate,_17_methylstearate,_17_methylstearate,_17_methylstearate,_17_methylstearate,,17-methylstearate,,,,,17-methylstearate (i19:0),,,(16or17)-methylstearate__(a19:0ori19:0),,,metmss38296,,,,,m38296,17_methylstearate,logm10,,_17_methylstearate,_17_methylstearate,_17_methylstearate,,,,,,,,,m_17,,,,,,x38296,,,,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
HMDB35417,0,0,1,"(1R,2R)-1,2,7,7-Tetramethylbicyclo[2.2.1]heptan-2-ol","(1R,2R)-1,2,7,7-Tetramethylbicyclo[2.2.1]heptan-2-ol",,"(1R,2R)-1,2,7,7-TETRAMETHYLBICYCLO[2.2.1]HEPTAN-2-OL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16913,,,,,HMDB0035417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InChI=1S/C11H20O/c1-9(2)8-5-6-10(9,3)11(4,12)7-8/h8,12H,5-7H2,1-4H3",,LFYXNXGVLGKVCJ-UHFFFAOYSA-N,,,,16024,,,,,,,,,,,,,,,,,,,Prenol lipids,Bicyclic monoterpenoids,Organic compounds,Monoterpenoids,Lipids and lipid-like molecules,,,,,,,,,,,,,,,,,,,,,,,,"(1R,2R)-1,2,7,7-tetramethylbicyclo[2.2.1]heptan-2-ol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB41545,0,0,1,"(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol","(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol",,"(1R,2R,4R)-1,8-EPOXY-P-MENTHANE-2,4-DIOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188642,,,,,HMDB0041545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176896-61-0,,,,,"InChI=1S/C10H18O3/c1-8(2)10(12)5-4-9(3,13-8)7(11)6-10/h7,11-12H,4-6H2,1-3H3",,PEWQMISWINPIPZ-UHFFFAOYSA-N,,,,163936,,,,,,,,,,,,,,,,,,,Prenol lipids,Bicyclic monoterpenoids,Organic compounds,Monoterpenoids,Lipids and lipid-like molecules,,,,,,,,,,,,,,,,,,,,,,,,"(1R,2R,4R)-1,8-epoxy-p-menthane-2,4-diol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB33574,0,0,1,"(1R,2R,4R,8R)-p-Menthane-2,8,9-triol","(1R,2R,4R,8R)-p-Menthane-2,8,9-triol",,"(1R,2R,4R,8R)-P-MENTHANE-2,8,9-TRIOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMDB0033574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212516-28-4,,,,,"InChI=1S/C10H20O3/c1-7-3-4-8(5-9(7)12)10(2,13)6-11/h7-9,11-13H,3-6H2,1-2H3",,QOYJDVFOAJUXAR-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,Prenol lipids,Menthane monoterpenoids,Organic compounds,Monoterpenoids,Lipids and lipid-like molecules,,,,,,,,,,,,,,,,,,,,,,,,"(1R,2R,4R,8R)-p-menthane-2,8,9-triol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB37942,0,0,1,"(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",,"(1XI,3XI)-1,2,3,4-TETRAHYDRO-1-METHYL-BETA-CARBOLINE-3-CARBOXYLICACID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73530,,,,,HMDB0037942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)",,ZUPHXNBLQCSEIA-UHFFFAOYSA-N,,,,66213,,,,,,,,,,,,,,,,,,,Harmala alkaloids,Harmala alkaloids,Organic compounds,,Alkaloids and derivatives,,,,,,,,,,,,,,,,,,,,,,,,"(1xi,3xi)-1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB30996,0,0,1,"(2'E,4'Z,7'Z,8E)-Colnelenic acid","(2'E,4'Z,7'Z,8E)-Colnelenic acid",,"(2'E,4'Z,7'Z,8E)-COLNELENICACID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6441679,,,,,HMDB0030996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52591-16-9,,,,,"InChI=1S/C18H28O3/c1-2-3-4-5-7-10-13-16-21-17-14-11-8-6-9-12-15-18(19)20/h3-4,7,10,13-14,16-17H,2,5-6,8-9,11-12,15H2,1H3,(H,19,20)/b4-3-,10-7-,16-13+,17-14+",,OYKAXBUWOIRLGF-VMBRNALUSA-N,,60959,,4945818,,,C16320,,,,,,,,,,,,,,,,Fatty Acyls,Medium-chain fatty acids,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules,,,,,,,Fatty ethers,-,Fatty ethers,-,,,,,,,,,,,,,,"(2'e,4'z,7'z,8e)-colnelenic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
